STATUS | wrapper  | 2012/07/26 11:16:57 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/07/26 11:16:57 | Java Service Wrapper Community Edition 32-bit 3.5.4
STATUS | wrapper  | 2012/07/26 11:16:57 |   Copyright (C) 1999-2010 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/07/26 11:16:57 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/07/26 11:16:57 | 
STATUS | wrapper  | 2012/07/26 11:16:58 | Launching a JVM...
INFO   | jvm 1    | 2012/07/26 11:17:00 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/07/26 11:17:01 | 0 [WrapperSimpleAppMain] INFO org.mortbay.log - Logging to org.slf4j.impl.SimpleLogger(org.mortbay.log) via org.mortbay.log.Slf4jLog
INFO   | jvm 1    | 2012/07/26 11:17:02 | 640 [WrapperSimpleAppMain] INFO org.mortbay.log - jetty-6.1.26
INFO   | jvm 1    | 2012/07/26 11:17:04 | 3433 [WrapperSimpleAppMain] INFO / - Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2012/07/26 11:17:04 | 3433 [WrapperSimpleAppMain] INFO org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
INFO   | jvm 1    | 2012/07/26 11:17:05 | 3713 [WrapperSimpleAppMain] INFO org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Jul 26 11:17:05 CST 2012]; root of context hierarchy
INFO   | jvm 1    | 2012/07/26 11:17:05 | 3869 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/applicationContext.xml]
INFO   | jvm 1    | 2012/07/26 11:17:05 | 4197 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [jar:file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/lib/service-1.0.0-SNAPSHOT.jar!/applicationContext-service.xml]
INFO   | jvm 1    | 2012/07/26 11:17:06 | 4681 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/applicationContext-manager.xml]
INFO   | jvm 1    | 2012/07/26 11:17:06 | 5383 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from URL [file:/C:/work/MyProject/setup/builds/package/manager/webapp/WEB-INF/classes/application.properties]
INFO   | jvm 1    | 2012/07/26 11:17:06 | 5383 [WrapperSimpleAppMain] INFO org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/opt/abc/myproject/conf/manager.properties]
INFO   | jvm 1    | 2012/07/26 11:17:06 | 5383 [WrapperSimpleAppMain] WARN org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Could not load properties from ServletContext resource [/opt/abc/myproject/conf/manager.properties]: Could not open ServletContext resource [/opt/abc/myproject/conf/manager.properties]
